federal_entity,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023,year_2024,year_2025
Aguascalientes,145.2,145.9,203.2,231.9,226.3,195.3,204.4,224,236.7,237.6,217.2
Baja California,247.9,278.2,267.1,253.2,239.4,189,189.6,203.9,223.2,239.8,239.5
Baja California Sur,297.7,267.2,268.9,243.8,242.2,211.3,221.5,244.2,265.7,232.5,193.7
Campeche,17.1,20,18,18.6,19.6,16.7,46,206,205.3,97.3,46.1
Chiapas,33.9,34.3,38.6,43.3,34.4,25.1,24.6,22.6,21.1,18.9,17.4
Chihuahua,141.2,132.2,155.4,154,159,146.5,158.6,157.6,157.9,166.9,159.1
Ciudad De Mexico,156.2,165.5,188,222.2,224.1,183.1,207.1,215.7,217.9,207.1,196
Coahuila,129.3,140.3,152,149.8,138.9,125.5,143.2,163,148.9,151.7,168.9
Colima,75.8,150,272.3,268.5,286.3,269.3,296.5,295.8,285.1,253.6,253.2
Durango,136.1,148.8,159.6,144.8,136.4,116,130.3,115.9,96.6,85.8,81.4
Estado De Mexico,99.8,141.5,170.4,164.6,156.8,125.5,126.2,124.9,126.9,118.6,110.4
Guanajuato,164,162.7,170.9,166.7,171.4,163.2,184.4,186.4,179.3,169.5,164.2
Guerrero,134.6,147.7,162.1,182.2,185.8,164.4,178.6,186,192.4,199.8,216.9
Hidalgo,85.8,84.8,75.6,63.6,62.5,54.4,55.9,61.4,61.4,57.8,57.8
Jalisco,79.1,95.7,123.1,141.6,135.9,111.4,124,138.9,149.5,141,145.2
Michoacan,55.5,57.9,73.8,79.2,81.3,79.2,80.5,77.3,81.1,81.2,79.5
Morelos,212.6,193.8,186.8,187.2,178,165.1,170.7,177,184.9,180.9,177.7
Nayarit,113.9,119.8,130.3,132.3,136.4,120.1,132.1,137.2,138,131.7,127.1
Nuevo Leon,46.4,25.2,21.8,30.3,30.4,26.9,32.4,57.6,76.9,75.3,63.8
Oaxaca,115.8,133.4,130.2,123.9,114.3,117.3,138.2,153,138.6,127.3,105.5
Puebla,12.7,65.1,65.4,85.4,88.6,78.6,83.2,86.3,83.6,73.7,59.5
Queretaro,85.5,67.1,69.9,78.7,97.5,80.2,94,95.6,94.9,97.5,100.3
Quintana Roo,132.1,169.1,206.3,219.2,225.2,190.2,193.8,207.3,220.2,203.2,193.3
Republica Mexicana,177.6,101,137.7,172.4,227.1,197.1,225.9,237.6,246.6,238.7,240.3
San Luis Potosi,64.7,85.7,104.6,113.2,153.1,133.2,147.5,160.4,173.2,166.5,172.6
Sinaloa,71.3,60.5,62.1,63,62.4,63.1,71.7,78.8,86.8,88.4,100.5
Sonora,82.8,112.4,73.1,50.5,64.3,84.3,99.9,88.7,94.6,94.2,85.1
Tabasco,197.3,201.6,202.4,193,185.3,145.8,156.2,144.2,138.2,138.6,142.1
Tamaulipas,106.2,114.7,110.4,102.3,97.7,72.7,83,84.6,92.9,89,89.2
Tlaxcala,53.5,43,43.6,39.4,27,25,27,26.1,22.7,19.8,15.2
Veracruz,46.1,42.5,66.1,60.1,88.2,77.4,85.7,83.2,83.1,77.6,72.6
Yucatan,135.9,132.5,93.1,49.5,61.3,31,31.3,15.2,15.3,14.7,17
Zacatecas,84.2,88.4,96.5,106.9,120.7,113.7,124.7,126,130.6,125.3,115.8
