federal_entity,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023,year_2024,year_2025
Aguascalientes,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN
Baja California,PAN,PAN,PAN,PAN,Morena,Morena,Morena,Morena,Morena,Morena,Morena
Baja California Sur,PAN,PAN,PAN,PAN,PAN,PAN,Morena,Morena,Morena,Morena,Morena
Campeche,PRI,PRI,PRI,PRI,PRI,PRI,Morena,Morena,Morena,Morena,Morena
Chiapas,PVEM,PVEM,PVEM,Morena,Morena,Morena,Morena,Morena,Morena,Morena,Morena
Chihuahua,PRI,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN
Ciudad De Mexico,PRD,PRD,PRD,Morena,Morena,Morena,Morena,Morena,Morena,Morena,Morena
Coahuila,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI
Colima,PRI,PRI,PRI,PRI,PRI,PRI,Morena,Morena,Morena,Morena,Morena
Durango,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PAN,PAN,PAN,PAN
Estado De Mexico,PRI,PRI,PRI,PRI,PRI,PRI,PRI,PRI,Morena,Morena,Morena
Guanajuato,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN
Guerrero,PRI,PRI,PRI,PRI,PRI,PRI,Morena,Morena,Morena,Morena,Morena
Hidalgo,PRI,PRI,PRI,PRI,PRI,PRI,PRI,Morena,Morena,Morena,Morena
Jalisco,PRI,PRI,PRI,MC,MC,MC,MC,MC,MC,MC,MC
Michoacan,PRI,PRI,PRI,PRI,PRI,PRI,Morena,Morena,Morena,Morena,Morena
Morelos,PRD,PRD,PRD,Morena,Morena,Morena,Morena,Morena,Morena,Morena,Morena
Nayarit,PRI,PRI,PRI,PRI,PRI,PRI,Morena,Morena,Morena,Morena,Morena
Nuevo Leon,Independiente,Independiente,Independiente,Independiente,Independiente,Independiente,MC,MC,MC,MC,MC
Oaxaca,PRI,PRI,PRI,PRI,PRI,PRI,PRI,Morena,Morena,Morena,Morena
Puebla,PAN,PAN,PAN,Morena,Morena,Morena,Morena,Morena,Morena,Morena,Morena
Queretaro,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN
Quintana Roo,PRI,PAN,PAN,PAN,PAN,PAN,PAN,Morena,Morena,Morena,Morena
Republica Mexicana,PRI,PRI,PRI,PRI,Morena,Morena,Morena,Morena,Morena,Morena,Morena
San Luis Potosi,PRI,PRI,PRI,PRI,PRI,PRI,PVEM,PVEM,PVEM,PVEM,PVEM
Sinaloa,PRI,PRI,PRI,PRI,PRI,PRI,Morena,Morena,Morena,Morena,Morena
Sonora,PRI,PRI,PRI,PRI,PRI,PRI,Morena,Morena,Morena,Morena,Morena
Tabasco,PRD,PRD,PRD,Morena,Morena,Morena,Morena,Morena,Morena,Morena,Morena
Tamaulipas,PAN,PAN,PAN,PAN,PAN,PAN,PAN,Morena,Morena,Morena,Morena
Tlaxcala,PRI,PRI,PRI,PRI,PRI,PRI,Morena,Morena,Morena,Morena,Morena
Veracruz,PRI,PAN,PAN,Morena,Morena,Morena,Morena,Morena,Morena,Morena,Morena
Yucatan,PRI,PRI,PRI,PAN,PAN,PAN,PAN,PAN,PAN,Morena,Morena
Zacatecas,PRI,PRI,PRI,PRI,PRI,PRI,Morena,Morena,Morena,Morena,Morena
