federal_entity,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023,year_2024,year_2025
Aguascalientes,4.5,4,3.6,3.5,3.5,4.6,4.1,3.8,3.2,3.2,2.6
Baja California,4.2,2.7,2.9,2.5,2.5,2.6,2.5,2.4,2.2,2.5,2.6
Baja California Sur,4.8,4.6,4.4,3.8,4.5,5.5,4.1,2.8,2.7,2.3,2.2
Campeche,2.9,3.7,3.8,3.3,3.3,3.3,3,2.6,1.8,1.9,2.6
Chiapas,3.1,3.1,2.6,2.8,3.2,2.9,3.2,2.4,2.1,2,2.3
Chihuahua,3.7,3.2,2.7,3.2,3,4,3.4,2.4,2.5,2.4,3.7
Ciudad de Mexico,5.3,5,4.6,4.6,5,6.4,6.9,5.3,4,4,2.1
Coahuila ,5.1,4.4,4.4,4.1,4.6,6.1,4.9,4.2,3.9,3.9,2.4
Colima,4.7,4.1,3.6,3.3,3.6,3.7,3.1,2.6,2.3,2.2,2.2
Durango,4.9,4.5,3.8,4.3,4,4.6,4.1,3.3,2.9,3.1,3.7
Estado de Mexico,5.4,5.1,4,4,4.5,6.1,5.8,4.7,3.6,3.5,2.2
Guanajuato,4.7,4,3.6,3.6,3.7,5.2,5.2,3.4,3.1,2.9,3.1
Guerrero,2.1,2,1.6,1.2,1.5,2.4,1.6,1.4,1.2,1.2,2.5
Hidalgo,3.8,3.1,2.9,2.5,2.4,2.5,3,2.3,2.4,2.1,0.9
Jalisco,4.7,3.6,2.8,2.7,2.9,4,3.4,2.5,2.4,2.1,1.9
Michoacan ,3.2,2.8,2.6,2.2,2.7,2.4,2.3,1.7,1.9,1.8,2.8
Morelos,3.3,2.6,2.1,2.1,2.3,2.4,2.4,2.3,1.9,1.8,1.4
Nayarit,5.4,4,3.6,3.9,3.9,4.3,2.9,2.6,2.1,2.2,2.5
Nuevo Leon,4.6,4.3,3.8,3.6,3.6,4.4,4.5,3.9,3.1,2.9,2.8
Oaxaca,2.9,2,2.2,1.6,1.8,2.2,1.6,1.4,1.5,1.4,1.4
Puebla,3.2,2.9,2.7,2.5,2.6,4.5,3.9,2.9,2.4,2.2,2.7
Queretaro,4.7,4.4,4.3,3.8,4.3,6.2,5.5,3.8,2.9,2.5,2
Quintana Roo,4,3.3,3.2,2.7,3.1,7.2,5.9,2.7,2.6,2.5,2.6
Republica Mexicana,4.3,3.9,3.4,3.3,3.5,4.4,4.1,3.3,2.8,2.7,1.4
San Luis Potosi,3,2.5,2.4,2.5,2.7,3.1,3.4,3.1,2.7,2.9,3.5
Sinaloa,4.3,3.8,3.7,3.2,3.2,3.5,2.7,2.9,2.4,2.3,2.5
Sonora,4.9,5,3.8,3.7,4.3,5.3,3.8,3.1,2.8,3.2,2.5
Tabasco,6.7,7.5,7,7.2,7.1,6.9,5.8,5,3.9,4,4.7
Tamaulipas,4.8,4.7,4.2,3.9,3.5,3.4,3.5,3.5,3.1,3.2,3.5
Tlaxcala,4.9,4.1,3.7,3.7,3.7,5.3,5.2,3.8,3.3,2.9,2.4
Veracruz ,3.7,3.5,3.5,3,3,2.9,3.4,2.7,2.1,2.1,2.1
Yucatan,2.6,2,2.1,1.8,1.9,2.7,2.5,2,1.8,1.8,1.7
Zacatecas,3.6,2.9,2.8,2.9,3.1,3.8,3.5,2.8,2.9,2.7,2.4
